Indix Product Name	Indix Product ID
Alcatel OT 813D	M0001
Apple iPhone 3GS 8GB (Airtel lock)	M0002
BlackBerry 9330 (Tata Indicom)	M0003
BlackBerry Torch 9800	M0004
BlackBerry Bold 9790	M0005
BlackBerry Bold 9900	M0006
BlackBerry Curve 8520	M0007
BlackBerry Curve 9360	M0008
BlackBerry Curve 9380	M0009
BlackBerry 9670	M0010
BlackBerry Torch 9810	M0011
BlackBerry Torch 9860	M0012
Dell XCD28	M0013
Dell XCD35	M0014
HTC EVO 3D	M0015
HTC Legend A6363	M0016
Intex IN 007 Maxima	M0017
Intex Nano IN 1212	M0018
Intex IN 2040E	M0019
Intex IN 2060	M0020
Intex IN 2080	M0021
Intex IN 5030	M0022
Intex IN 8809	M0023
Intex V.Show Projector IN 8810	M0024
Intex Kool 4370	M0025
Karbonn K 111	M0026
Karbonn K 505	M0027
Karbonn K336	M0028
Karbonn K433	M0029
Karbonn K455	M0030
Karbonn K666	M0031
LG A120	M0032
LG A165	M0033
LG A230	M0034
LG Chocolate BL40	M0035
LG C105	M0036
LG C310	M0037
LG Cookie Fresh GS290	M0038
LG GB110	M0039
LG Buzz GB220	M0040
LG GS108	M0041
LG GS155	M0042
LG GU220	M0043
LG GU285	M0044
LG GW300	M0045
LG GX300	M0046
LG GX500	M0047
LG Optimus 2X P990	M0048
LG Optimus 3D P920	M0049
LG Optimus Black P970	M0050
LG Optimus Hub E510	M0051
LG Optimus Me P350	M0052
LG Optimus NET P690	M0053
LG Optimus One P500	M0054
LG Optimus Pro C660	M0055
LG Optimus Sol E730	M0056
LG Optimus Sol E730	M0057
LG P520	M0058
LG S310	M0059
LG T300	M0060
LG T515	M0061
LG X330	M0062
Lava A10	M0063
Lava A11	M0064
Lava A16	M0065
Lava B5 Qwerty	M0066
Lava B8	M0067
Lava KKT 30	M0068
Lava M70	M0069
Lava M9	M0070
Lava S12	M0071
Lemon Duo 212	M0072
Lemon Duo 306	M0073
Lemon Duo 309	M0074
Lemon Duo 325	M0075
Lemon Duo 339 Super	M0076
Lemon Duo 339 Super	M0077
Lemon 349	M0078
Lemon Flip F101	M0079
Lemon W100	M0080
Lemon 505	M0081
Maxx GC735	M0082
Maxx MQ601	M0083
Maxx MSD7	M0084
Maxx Zippy MT105	M0085
Maxx MX124	M0086
Maxx Yoyo MX166	M0087
Maxx MX192 -Tune	M0088
Maxx MX250	M0089
Maxx MX349	M0090
Maxx MX365	M0091
Maxx Tiny MX372	M0092
Maxx MX388	M0093
Maxx MX469	M0094
Micromax A70	M0095
Micromax Superfone A85	M0096
Micromax Andro A60	M0097
